import time: self [us] | cumulative | imported package
import time:       201 |        201 |   django.contrib.admin.exceptions
import time:       153 |        153 |         django.contrib.messages.constants
import time:       635 |        635 |         django.contrib.messages.storage
import time:       496 |       1283 |       django.contrib.messages.api
import time:        70 |         70 |         django.contrib.messages.utils
import time:       346 |        415 |       django.contrib.messages.storage.base
import time:       392 |       2089 |     django.contrib.messages
import time:       430 |        430 |       django.contrib.admin.utils
import time:       421 |        851 |     django.contrib.admin.helpers
import time:       610 |        610 |     django.contrib.admin.widgets
import time:       518 |        518 |     django.contrib.admin.checks
import time:        81 |         81 |       django.contrib.admin.templatetags
import time:       322 |        402 |     django.contrib.admin.templatetags.admin_urls
import time:       161 |        161 |         django.middleware
import time:       234 |        234 |         django.utils.cache
import time:       312 |        705 |       django.middleware.csrf
import time:       374 |        374 |       django.contrib.auth.signals
import time:       256 |       1335 |     django.contrib.auth
import time:       177 |        177 |     django.views.decorators.csrf
import time:      1112 |       7090 |   django.contrib.admin.options
import time:       375 |       7665 | django.contrib.admin.filters
import time:        89 |         89 |   django.contrib.admin.actions
import time:        72 |         72 |     django.contrib.admin.views
import time:       232 |        303 |   django.contrib.admin.views.autocomplete
import time:       180 |        180 |     django.shortcuts
import time:       225 |        404 |   django.contrib.auth.decorators
import time:       209 |        209 |     django.middleware.cache
import time:       153 |        361 |   django.views.decorators.cache
import time:       138 |        138 |   django.views.decorators.common
import time:       216 |        216 |   django.views.i18n
import time:       364 |       1874 | django.contrib.admin.sites
import time:       203 |        203 |     getpass
import time:       167 |        167 |       django.contrib.contenttypes
import time:       254 |        254 |           django.db.migrations.utils
import time:       220 |        220 |           django.db.migrations.exceptions
import time:       428 |        901 |         django.db.migrations.migration
import time:       265 |        265 |             django.db.migrations.operations.base
import time:       985 |       1249 |           django.db.migrations.operations.fields
import time:       387 |        387 |             django.db.migrations.state
import time:       507 |        894 |           django.db.migrations.operations.models
import time:       252 |        252 |           django.db.migrations.operations.special
import time:       185 |       2578 |         django.db.migrations.operations
import time:       158 |       3636 |       django.db.migrations
import time:       414 |       4217 |     django.contrib.contenttypes.management
import time:       185 |       4604 |   django.contrib.auth.management
import time:       202 |       4806 | django.contrib.auth.checks
import time:        93 |         93 | django.contrib.contenttypes.checks
import time:       187 |        187 |     django.contrib.staticfiles.utils
